PRECINCT,HOUR,INCIDENT_COUNT,AVG_SEVERITY,SAFETY_INDEX
1.0,0,363,2.330578512396694,47.83837829943485
1.0,1,310,2.3129032258064517,48.29168041951901
1.0,2,292,2.3493150684931505,48.42602061660951
1.0,3,253,2.3043478260869565,48.97496976148479
1.0,4,216,2.3564814814814814,49.506506076560015
1.0,5,174,2.3850574712643677,50.45503271735299
1.0,6,200,2.22,50.11956209858873
1.0,7,657,2.0639269406392695,46.890772560650156
1.0,8,880,2.0568181818181817,46.49649219820255
1.0,9,853,2.118405627198124,46.49844731220419
1.0,10,875,2.104,46.47666246417579
1.0,11,1056,2.141098484848485,46.26159114535957
1.0,12,1219,2.136177194421657,46.13741443901617
1.0,13,1185,2.1713080168776373,46.147276518226626
1.0,14,1315,2.1863117870722433,46.060256961562
1.0,15,1285,2.2171206225680935,46.067022939983325
1.0,16,1241,2.2288477034649476,46.08947318194323
1.0,17,1263,2.204275534441805,46.08449078118421
1.0,18,1079,2.2428174235403153,46.199651494264955
1.0,19,879,2.174061433447099,46.43425218580116
1.0,20,712,2.140449438202247,46.7174910665917
1.0,21,479,2.1899791231732775,47.350807435486395
1.0,22,437,2.2265446224256293,47.50952055305194
1.0,23,344,2.244186046511628,48.079886351483545
5.0,0,337,2.391691394658754,47.96341633590564
5.0,1,261,2.2796934865900385,48.90123313163062
5.0,2,253,2.3399209486166006,48.91938704007867
5.0,3,208,2.389423076923077,49.607616198379205
5.0,4,149,2.4496644295302015,51.15861776568237
5.0,5,101,2.3366336633663365,54.35068772859031
5.0,6,120,2.283333333333333,53.098098740146554
5.0,7,180,2.1166666666666667,50.91337867272137
5.0,8,399,2.0776942355889725,47.89004510208029
5.0,9,581,2.1686746987951806,47.01053718511504
5.0,10,589,2.0509337860780983,47.083357645934136
5.0,11,573,2.162303664921466,47.03920964817549
5.0,12,696,2.2370689655172415,46.687847673099455
5.0,13,622,2.1768488745980705,46.89309443760156
5.0,14,694,2.2377521613832854,46.69137371510474
5.0,15,813,2.3640836408364083,46.427868578343414
5.0,16,654,2.2507645259938838,46.76689916340301
5.0,17,644,2.2857142857142856,46.76689916340301
5.0,18,585,2.258119658119658,46.93242045948706
5.0,19,481,2.264033264033264,47.27617215280731
5.0,20,450,2.1533333333333333,47.518563519774354
5.0,21,346,2.2254335260115607,48.087057843657405
5.0,22,293,2.273037542662116,48.51932868724198
5.0,23,315,2.295238095238095,48.26700972611677
6.0,0,498,2.427710843373494,47.08189817878659
6.0,1,522,2.42911877394636,46.99986415470137
6.0,2,381,2.477690288713911,47.576818330558936
6.0,3,323,2.4953560371517027,47.96341633590564
6.0,4,224,2.482142857142857,49.15251456942954
6.0,5,142,2.464788732394366,51.40889301858811
6.0,6,164,2.4878048780487805,50.54315329570993
6.0,7,244,2.2459016393442623,49.20848030234752
6.0,8,325,2.193846153846154,48.30835822347397
6.0,9,470,2.2,47.38028440218278
6.0,10,516,2.2306201550387597,47.170739278895894
6.0,11,571,2.2049036777583186,47.01188085097729
6.0,12,657,2.26027397260274,46.75422274260496
6.0,13,665,2.2090225563909773,46.769856353257715
6.0,14,724,2.2140883977900554,46.648562989884645
